pool_hash,pool_id,operator_group,source,source_detail
07c30535c3781afef83200ebee872e4abe0aa8cc7c448ccd68730bb8,pool1qlps2dwr0qd0a7pjqr47apewf2lq42xv03zgentgwv9mspeh57g,COINBASE,pool_groups_current_HEAD,pool_clusters.json group; ticker=None; balanceanalytics_group=COINBASE; adastat_group=None
1af3ab3195145354f01a9862086cd788792cef439e028a1d7c361f54,pool1rte6kvv4z3f4fuq6np3qsmxh3pujem6rncpg58tuxc04gwmc2xn,COINBASE,pool_groups_current_HEAD,pool_clusters.json group; ticker=None; balanceanalytics_group=COINBASE; adastat_group=None
25fd683114acd191fa3f6cd2a5610e25ded9eebdc8fb76b5f66f2d20,pool1yh7ksvg54nger73ldnf22cgwyh0dnm4aerahdd0kdukjqeacy32,COINBASE,pool_groups_current_HEAD,pool_clusters.json group; ticker=N/A; balanceanalytics_group=COINBASE; adastat_group=n
26913b79719e86c08f5e4e8fbcdcc8042865566fcc045fd25edd7a01,pool1y6gnk7t3n6rvpr67f68mehxgqs5x24n0esz9l5j7m4aqzn4e0qw,COINBASE,pool_groups_current_HEAD,pool_clusters.json group; ticker=N/A; balanceanalytics_group=COINBASE; adastat_group=n
2885a48f88db36756708fd2f7a30117962dad843add43a313b5ebfdf,pool19zz6frugmvm82ecgl5hh5vq3093d4kzr4h2r5vfmt6la7trk929,COINBASE,pool_groups_current_HEAD,pool_clusters.json group; ticker=CVM; balanceanalytics_group=COINBASE; adastat_group=None
2fa7df39f73de583b9ac7121e9c3bfbac385e53d8ed51e372030536d,pool197na7w0h8hjc8wdvwys7nsalhtpctefa3m23udeqxpfk6nzq8l9,COINBASE,pool_groups_current_HEAD,pool_clusters.json group; ticker=N/A; balanceanalytics_group=COINBASE; adastat_group=n
365a5a9c59aa3971d96511a5bce24c4598849d0d3c2d61217dc0b488,pool1xed948ze4guhrkt9zxjmecjvgkvgf8gd8skkzgtacz6gsyk9m5c,COINBASE,pool_groups_current_HEAD,pool_clusters.json group; ticker=WGM; balanceanalytics_group=COINBASE; adastat_group=None
37303e39c681371e158fdd7268f4546d581114dc3fbcc87cbc6856f0,pool1xucruwwxsym3u9v0m4ex3az5d4vpz9xu877vsl9udpt0q237e9m,COINBASE,pool_groups_current_HEAD,pool_clusters.json group; ticker=KLF; balanceanalytics_group=COINBASE; adastat_group=None
37e0b7c9c58753b14707dd34267ebbd50917e9b80d4f76da07e0e1b8,pool1xlst0jw9safmz3c8m56zvl4m65y306dcp48hdks8ursmsz2awm2,COINBASE,pool_groups_current_HEAD,pool_clusters.json group; ticker=OOH; balanceanalytics_group=COINBASE; adastat_group=None
3a203ec1a8bae5098be953c3759e9fae42eea3d5714293500c6b3013,pool18gsrasdghtjsnzlf20pht85l4epwag74w9pfx5qvdvcpxw68sl6,COINBASE,pool_groups_current_HEAD,pool_clusters.json group; ticker=GCD; balanceanalytics_group=COINBASE; adastat_group=None
