epoch,k,decentralisation,min_pool_cost_ada,source,generated_at
347,500,0,340.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
348,500,0,340.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
349,500,0,340.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
350,500,0,340.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
351,500,0,340.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
352,500,0,340.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
353,500,0,340.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
354,500,0,340.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
355,500,0,340.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
356,500,0,340.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
357,500,0,340.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
358,500,0,340.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
359,500,0,340.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
360,500,0,340.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
361,500,0,340.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
362,500,0,340.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
363,500,0,340.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
364,500,0,340.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
365,500,0,340.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
366,500,0,340.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
367,500,0,340.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
368,500,0,340.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
369,500,0,340.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
370,500,0,340.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
371,500,0,340.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
372,500,0,340.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
373,500,0,340.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
374,500,0,340.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
375,500,0,340.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
376,500,0,340.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
377,500,0,340.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
378,500,0,340.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
379,500,0,340.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
380,500,0,340.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
381,500,0,340.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
382,500,0,340.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
383,500,0,340.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
384,500,0,340.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
385,500,0,340.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
386,500,0,340.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
387,500,0,340.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
388,500,0,340.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
389,500,0,340.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
390,500,0,340.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
391,500,0,340.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
392,500,0,340.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
393,500,0,340.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
394,500,0,340.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
395,500,0,340.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
396,500,0,340.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
397,500,0,340.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
398,500,0,340.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
399,500,0,340.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
400,500,0,340.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
401,500,0,340.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
402,500,0,340.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
403,500,0,340.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
404,500,0,340.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
405,500,0,340.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
406,500,0,340.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
407,500,0,340.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
408,500,0,340.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
409,500,0,340.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
410,500,0,340.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
411,500,0,340.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
412,500,0,340.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
413,500,0,340.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
414,500,0,340.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
415,500,0,340.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
416,500,0,340.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
417,500,0,340.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
418,500,0,340.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
419,500,0,340.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
420,500,0,340.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
421,500,0,340.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
422,500,0,340.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
423,500,0,340.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
424,500,0,340.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
425,500,0,340.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
426,500,0,340.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
427,500,0,340.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
428,500,0,340.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
429,500,0,340.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
430,500,0,340.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
431,500,0,340.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
432,500,0,340.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
433,500,0,340.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
434,500,0,340.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
435,500,0,340.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
436,500,0,340.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
437,500,0,340.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
438,500,0,340.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
439,500,0,340.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
440,500,0,340.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
441,500,0,340.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
442,500,0,340.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
443,500,0,340.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
444,500,0,340.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
445,500,0,170.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
446,500,0,170.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
447,500,0,170.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
448,500,0,170.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
449,500,0,170.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
450,500,0,170.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
451,500,0,170.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
452,500,0,170.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
453,500,0,170.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
454,500,0,170.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
455,500,0,170.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
456,500,0,170.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
457,500,0,170.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
458,500,0,170.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
459,500,0,170.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
460,500,0,170.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
461,500,0,170.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
462,500,0,170.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
463,500,0,170.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
464,500,0,170.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
465,500,0,170.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
466,500,0,170.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
467,500,0,170.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
468,500,0,170.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
469,500,0,170.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
470,500,0,170.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
471,500,0,170.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
472,500,0,170.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
473,500,0,170.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
474,500,0,170.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
475,500,0,170.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
476,500,0,170.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
477,500,0,170.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
478,500,0,170.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
479,500,0,170.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
